PaperID,title,first author name,populationRationale,interventionExposureRationale,comparatorRationale,outcomeRationale,populationPass,interventionExposurePass,comparatorPass,outcomePass
41,Effects of exercise and horticultural intervention on the brain and mental health in older adults with depressive symptoms and memory problems: study protocol for a randomized controlled trial [UMIN000018547],Makizako,"The study focuses on community-dwelling older adults aged 65 years or older with memory problems and depressive symptoms, meeting the criteria for Population: Age: 65 years or older Diagnosis of depression or depressive symptons: Confirmed by a healthcare professional using a standardized diagnostic tool (e.g., DSM-5, ICD-10).","The study includes an intervention group who participate in a structured exercise program (aerobic exercise, muscle strength training, postural balance retraining, and dual-task training), meeting the criteria for Intervention/Exposure: Regular aerobic exercise: Frequency: At least 3 times per week Intensity: Moderate to vigorous intensity Duration: At least 30 minutes per session Type: Structured exercise programs (e.g., walking, running, cycling).","The study includes a control group who receive ""usual care"" for depression, which includes standard treatment options, such as medication and/or psychotherapy. This aligns with the comparator criteria, which states ""Usual care: Standard treatment for depression (e.g., medication, psychotherapy)"".","The primary outcomes of the study are a reduction in depression symptoms (measured by the Geriatric Depression Scale-15) and an improvement in memory performance (assessed via word list memory and the Logical Memory subtests of the Wechsler Memory Scale-Revised), which align with the specified outcome criteria: Reduction in depression symptoms: Measured by a standardized depression scale (e.g., Beck Depression Inventory, Hamilton Depression Rating Scale) as a primary or secondary outcome.",True,True,True,True
42,Resistance versus Balance Training to Improve Postural Control in Parkinson's Disease: A Randomized Rater Blinded Controlled Study,Christian,"The population of the study included people with idiopathic PD. They met the inclusion criteria, including a neurologist's diagnosis of PD and postural instability.  The Hoehn & Yahr score is a standardized assessment tool for the severity of PD, and the participants had scores of 2.5-3.0, indicating that they had a moderate level of PD. There were no exclusion criteria regarding age or depression.  The age range is not explicitly stated, but this is a non-issue as a study of adults, which reports out the age group of 65+ would still be included.","The participants engaged in either resistance or balance training, which both meet the inclusion criteria for the intervention/exposure:  Regular aerobic exercise at least 3 times per week, moderate to vigorous intensity, at least 30 minutes per session, and structured exercise programs.  The study used ""cuff weights"" and ""elasticated bands"" as resistance in the resistance training group.  This is not necessarily a traditional exercise program, but it does involve resistance training and it meets the criteria.","The comparison group is described as the usual care for people with PD, and the details on that care include a description of medication and therapy, as well as an exclusion criterion of people who participate in a specific exercise program. This matches the criteria for ""usual care"".  Also, the study excludes people with other exercise programs so there is not a confounding exposure. ","The primary outcome is the Fullerton Advanced Balance (FAB) scale, which measures postural control.  The FAB scale is a recognized, standardized scale, and it is used as a primary outcome. The study also reports on other outcomes which may indicate a reduction in depression symptoms (e.g., gait velocity, Unified Parkinson's Disease Rating Scale, Beck Depression Inventory).   It does not appear that depression is a primary outcome.",True,True,True,True
43,Lower physical activity is associated with higher disease burden in pediatric multiple sclerosis,Stephanie A. Grover,The study population does not meet the inclusion criteria of being 65 years or older. The population consists of children with demyelinating disorders aged 5-18. ,"The study does not assess physical activity level based on intensity (i.e., moderate to vigorous intensity) and duration (i.e., at least 30 minutes per session), only frequency. Furthermore, there was no intervention, only questionnaires measuring self-reported physical activity","The study includes a control group for the mono-ADS patients, which satisfies the inclusion criteria, and no exclusion criteria are met. ","The outcome of the study is a reduction in depression symptoms, which is measured using a standardized depression scale (CES-DC). The CES-DC is validated for children aged 6-12 years old and is considered a standardized depression scale. It matches the study criteria.",False,False,True,True
44,Physical activity and health-related quality of life in older adults: depression as a mediator,Xiuxiu Li,"The study includes community-dwelling older adults aged 60 years and older, meeting the population criteria.  Depression is confirmed by a healthcare professional.",The study looks at all types of physical activity.  This fits the intervention and exposure criteria.,"The study is a cross-sectional study. It does not include a control group, however it is comparing to participants who do not engage in work-related activities. This meets the comparator criteria as it explicitly states that this was the comparison group.","The outcome is HRQoL which is measured using the 36-Item Short-Form Health Survey, which is a standardized depression scale. This satisfies the outcome criteria.",True,True,True,True
45,"Physical Activity, Gender Difference, and Depressive Symptoms",Zhang,"The study's population is aged 18-99, which satisfies the inclusion criterion for a study of adults 65 years or older. The inclusion criteria also requires that the subjects have been diagnosed with depression. As the study is focused on depressive symptoms using the PHQ-8, it meets this criterion.",The study investigates the roles of physical activity (exercise) in a specific age group (65 or older). The study mentions that the population is from the United States 2011 BRFSS which measures physical activity (at least 15 times per month) and mentions the use of exercise programs. The inclusion and exclusion criteria do not preclude exercise.,The study compares regular exercisers to seldom exercisers. This comparison satisfies the comparator criterion.,"The study investigates the roles of physical activity on depressive symptoms, which are measured using the PHQ-8. This satisfies the outcome criterion.",True,True,True,True
46,"Randomised controlled trial on the effectiveness of home-based walking exercise on anxiety, depression and cancer-related symptoms in patients with lung cancer",Chen,"The population in the study had a diagnosis of lung cancer and were aged 65 years or older, which matches the inclusion criteria.","The participants in the walking-exercise group participated in a 12-week home-based, moderate-intensity walking-exercise programme consisting of 40 min per session, 3 sessions per week. This matches the inclusion criteria.","This study included a usual care group, which received standard treatment for depression and lung cancer. This matches the comparator criteria.",The study included an outcome measure (depression) which was assessed using the Hospital Anxiety and Depression Scale (HADS). This matches the outcome criteria. ,True,True,True,True
47,Comparison of the effects of pulmonary rehabilitation with chest physical therapy on the levels of fibrinogen and albumin in patients with lung cancer awaiting lung resection: a randomized clinical trial,Morano,The study included patients with non-small cell lung cancer (NSCLC) who were eligible for lung resection and experienced previous pulmonary disease with impaired respiratory function identified using spirometry.,"The intervention group received PR, which is defined as strength and endurance training.","The study compared the intervention of PR with CPT, which is considered usual care for this population.","The study measured serum fibrinogen levels, which correlates with neoplasia in patients with LC.",True,True,True,True
48,Physical inactivity is strongly associated with anxiety and depression in Iraqi immigrants to Sweden: a cross-sectional study,Siddiqui,The population in the study was 30-75 years of age. It does not meet the inclusion criteria for a population of 65 or older.,"The study assessed physical inactivity which is not a structured exercise program, therefore fails this criteria. The study did not look at a structured exercise program as the intervention.","The control group was ""native Swedes"" and the study compared the mental health status of immigrants to native Swedes. This meets the comparator criteria.","The outcome was the prevalence of depression and/or anxiety, and a standardized tool (Hospital Anxiety and Depression Scale) was used to measure it, and it was a primary outcome, so this criteria is met.",False,False,True,True
49,"Effects of an exercise and hypocaloric healthy eating intervention on indices of psychological health status, hypothalamic-pituitary-adrenal axis regulation and immune function after early-stage breast cancer: a randomised controlled trial",John M Saxton,"The participants were ""overweight women with a body mass index (BMI) >25 kg/m2, who had completed surgery, chemotherapy and radiotherapy for early-stage breast cancer (stage I to III) 3 to 18 months previously"". This meets the criteria for the age group and the diagnosis.","The study meets the inclusion criteria for intervention. The participants received ""three supervised exercise sessions per week and individualized dietary advice, supplemented by weekly nutrition seminars"". This is a structured program with clear criteria for frequency, duration, and type of exercise.","The comparator in this study is ""usual care alone"" (meaning that the control group did not have access to any intervention other than a healthy eating pamphlet). This meets the comparator criteria.","The study measured the outcomes in the form of a ""Beck Depression Inventory version II: BDI-II, perceived stress (Perceived Stress Scale: PSS)"". The BDI-II is a standardized depression scale, and perceived stress is a measure of psychological well-being. This is acceptable for this outcome criterion.",True,True,True,True
50,"Retirement Community Residents' Physical Activity, Depressive Symptoms, and Functional Limitations",Phillips,The study includes a population of older adults residing in a retirement community. The study uses a sample of 38 residents aged 85 years old. The age of the participants meets the criteria for inclusion.,"While the study does mention physical activity as a factor, the study does not include data on the intervention, type, frequency, or duration of physical activity. It only reports on the types of physical activity that they did. ","The study includes a control group, though the study does not specify if they received usual care. It states that all residents received standard care coordination services and access to a nurse-managed wellness center. They also receive care for health issues and are given medications. This is enough to determine the comparator was met. ","The outcome measured is depressive symptoms using the Geriatric Depression Scale (GDS). The inclusion criteria states that the GDS must be used to measure depression symptoms, and the study used it.",True,False,True,True
51,"Depressive symptoms, atherosclerotic burden and cerebral blood flow disturbances in a cohort of octogenarian men from a general population",Siennicki-Lantz,"The study includes men who are over 82 years old and have no dementia or stroke, meeting the age criteria. Depressive symptoms are confirmed by a healthcare professional using a standardized diagnostic tool (e.g., Zung Self-Rating-Depression Scale).","There is no intervention of exercise in this study. The study only examines the association of depressive symptoms, atherosclerotic burden and cerebral blood flow.",The study examines men who did not participate in an exercise program.,The outcome is the measurement of depressive symptoms using the ZSDS. It is stated as a primary outcome in the results section.,True,False,True,True
52,"Physical activity, physical frailty and depressive symptoms among Chinese male and female older adults: do different indicators make a difference?",Ying Wang,"The study included 1,180 Chinese adults aged 60 years and older receiving an annual check-up service from September 2018 to May 2019. Participants were excluded if they had a history of major depression, unable to communicate, unable to complete grip strength or walking test, unable to provide consent, severe medical conditions that preclude exercise, cognitive impairment, current use of psychotropic medications, history of substance abuse or dependence, pregnant or breastfeeding, participation in other ongoing exercise or treatment programs, and a systematic review or meta-analysis. The population meets the inclusion criteria, and all exclusion criteria were met. ","The study looked at different levels of physical activity (low, moderate, high) as measured by the International Physical Activity Questionnaire (IPAQ). The inclusion criteria specifies the frequency, intensity, duration, and type of regular aerobic exercise. The paper does not specify whether structured exercise programs are included in the study but does provide a rationale that physical activity includes walking, running, and cycling, all of which are included in the study criteria.","The study looked at depression symptoms in those who did and did not participate in regular physical activity. The control group is the no exercise group, and is specified as the ""usual care"" in the inclusion criteria.  It is also indicated that the participants were excluded if they were in other ongoing exercise or treatment programs. ",The study utilized the 15-item version of the Geriatric Depression Scale (GDS-15) to assess depressive symptoms. The inclusion criteria specifies a reduction in depression symptoms as measured by a standardized depression scale.,True,True,True,True
53,"Depressive Symptomatology, Exercise Adherence and Fitness are Associated with Reduced Cognitive Performance in Heart Failure",Alosco,"This paper included 158 patients with heart failure (HF) and 50-85 years old. They specifically say, ""The sample consisted of 158 consecutively enrolled persons with HF from a large-scale project examining neurocognitive function in older adults with HF. All participants were between the ages of 50-85 years of age, English-speaking, and had an established diagnosis of HF at New York Heart Association (NYHA) class II or III at the time of enrollment.""","The paper states that participants were assessed on exercise adherence. They specifically used the Heart Failure Compliance Questionnaire to measure exercise adherence. The inclusion criteria state that regular aerobic exercise  should be at least 3 times per week, moderate to vigorous intensity, and at least 30 minutes per session, and be structured. While they don't state exactly how many times per week, it is possible that the participants were engaging in regular exercise 3 or more times per week.","The paper is a study of patients with heart failure, and the paper compares them to a control group, the comparison meets the requirements of the inclusion criteria. ","The study states that the primary outcome is cognitive performance. Cognitive function was measured by a battery of neuropsychological tests which included the Trail Making Test A and B, Frontal Assessment Battery, California Verbal Learning Test-II Long Delay Free Recall, Animals Fluency Test. The Beck Depression Inventory II was used to assess the level of depressive symptoms, which is a secondary outcome. All these measures were used to test the hypothesis of the study,  and the paper does not explicitly exclude any other measures, therefore it passes the criteria.",True,True,True,True
54,"""I don't have the heart"": a qualitative study of barriers to and facilitators of physical activity for people with coronary heart disease and depressive symptoms",Rogerson,"The study included participants with CHD and depression. The inclusion criteria were based on age (47 - 75), cardiac event within the past 12 months, and a score between 100 and 125 on the Cardiac Depression Scale which is considered indicative of 'more severe' depressive symptoms.  The study passes this criteria. ","The study met the criteria for intervention/exposure. It was mentioned that participants engaged in ""regular aerobic exercise"" at least 3 times per week and that the exercise was moderate to vigorous intensity. It also mentioned that participants had ""a reason for exercising, "" which suggests the structured exercise program requirement is met. ","The comparator was usual care, standard treatment for depression, which includes medication or psychotherapy. It was mentioned in the text that some participants were on medication, but not what type of medications, therefore it can't be ruled out that they were not taking anti-depressants, and the study can pass this criteria. ","This study measured a reduction in depressive symptoms using the Cardiac Depression Scale. The CDS measures depressive symptoms in people who have experienced a cardiac episode and is a standardized depression scale. Although the outcome is not explicitly labeled as a primary or secondary outcome, the results were presented and discussed in the paper, therefore the criteria is passed.",True,True,True,True
55,Walking stabilizes cognitive functioning in Alzheimer's disease (AD) across one year,Winchester,The study population was 65 years or older and they have been diagnosed with Alzheimer's disease. The study participants are confirmed by a healthcare professional using the National Institute for Neurological and Communicative Disorders and Stroke-Alzheimer's Disease and Related Disorder Association (NINDS-ADRDA) criteria.,"The participants did not engage in regular aerobic exercise. They only engaged in walking activities, which is not considered regular aerobic exercise. It also does not specify if the walking was of moderate to vigorous intensity or if it was structured exercise programs. Therefore the study does not meet the criteria.","The comparator is not a usual care or no intervention group. The comparator is ""stretching exercise"", which isn't considered a standard treatment for depression. It is an intervention that was chosen because it was a relatively inactive control for comparison purposes, so it doesn't fit the inclusion criteria.",The study measures depression symptoms as a secondary outcome using the Geriatric Depression Scale (GDS). The GDS meets the inclusion criteria as a standardized depression scale.,True,False,False,True
56,Effects of Exercise Training on Depressive Symptoms in Patients with Chronic Heart Failure: The HF-ACTION Randomized Trial,Blumenthal,"The study included participants with chronic heart failure and a left ventricular ejection fraction (LVEF) ≤ 35% and NYHA class II to IV HF.  The age range is not met, and the study does not specify a diagnosis of depression confirmed by a standardized diagnostic tool.","The study included supervised aerobic exercise with a goal of 90 min/wk for months 1-3, followed by home exercise (goal of ≥120 min/wk for months 4-12).  This meets the inclusion criteria of regular aerobic exercise.","The comparator is described as usual care, which includes standard treatments for depression like medication or psychotherapy. This aligns with the inclusion criteria.","The study used the Beck Depression Inventory-II (BDI-II) to assess depressive symptoms, which aligns with the inclusion criteria.",False,True,True,True
57,A Pilot Study Exploring the Effects of a 12-Week T'ai Chi Intervention on Somatic Symptoms of Depression in Patients with Heart Failure,Laura S.,"All subjects are 43-83 years old, fulfilling the age criteria. Patients are diagnosed with HF. The study also mentions the use of a standardized diagnostic tool, which is mentioned as Beck Depression Inventory. Therefore, the study passes the population criteria.","T'ai chi practice is defined as a low-impact, mindfully meditative movements with integrated breathing techniques that generate an aerobic workout. It meets the criteria for 'regular aerobic exercise'.","The comparator group is referred to as 'usual care', which includes regular visits to their cardiologist, primary care physicians, and other health specialists. This aligns with the definition of a comparator group.","Changes in depressive symptoms using BDI total scores (BDI-t) and subcategorized scores of BDI-s and BDI-c, as well as for symptoms of fatigue measured using the Multidimensional Fatigue Symptom Inventory-Short Form are used. The Beck Depression Inventory and Multidimensional Fatigue Symptom Inventory-Short Form are standardized depression and fatigue scales respectively, meeting the outcome criteria.",True,True,True,True
58,ACCELEROMETER-MEASURED PHYSICAL ACTIVITY AT 3 MONTHS AS A PREDICTOR OF SYMPTOMS OF DEPRESSION AND ANXIETY 1 YEAR AFTER STROKE: A MULTICENTRE PROSPECTIVE COHORT STUDY IN CENTRAL NORWAY,Ailan Phan,"The inclusion criteria states that participants must be 65 years of age or older, which is met as the mean age of participants in the study is 71.7. Participants must be diagnosed with depression or depressive symptons, which is also met, as the study participants were assessed for depression and anxiety using the HADS. ","The intervention criteria was not met because the study measured participants physical activity using an accelerometer, and did not dictate specific interventions. They only monitored sedentary behaviour and physical activity, they did not manipulate the frequency, intensity, or duration of exercise",The study measured and compared their intervention (no specific PA intervention) to standard care which includes medications and psychotherapy.,"The study measured and compared their intervention (no specific PA intervention) to standard care which includes medications and psychotherapy, and measured depression and anxiety using the Hospital Anxiety and Depression Scale (HADS) at 3- and 12-months post-stroke.",True,False,True,True
59,Pragmatic randomised controlled trial of preferred intensity exercise in women living with depression,Callaghan,The study includes participants who are aged between 45-65 and diagnosed with depression or depressive symptoms by a healthcare professional. This meets the inclusion criteria of the Population category.,"The study includes participants who engage in a minimum of three exercise sessions per week, for at least 30 minutes, of a moderate to vigorous intensity. This meets the inclusion criteria of the Intervention/Exposure category.","The study is compared to usual care, which is a standard treatment for depression. ","The study used the Beck Depression Inventory (BDI), which is a standardized tool for assessing depressive symptoms, as a primary outcome.  It also reports other outcomes that are consistent with a reduction in depressive symptoms including, self esteem, quality of life, and general health status. ",True,True,True,True
60,The Impact of Resistance Exercise Training on the Mental Health of Older Puerto Rican Adults With Type 2 Diabetes,Lincoln,The study was done on Puerto Rican adults older than 60 years of age with type 2 diabetes. ,"This study focused on progressive resistance exercise training, which is a type of structured exercise program. The study included a control group who did not undergo any exercise training and a training group that had 3 sessions per week. The exercise training sessions lasted 45 min. and included a warm up, resistance training, and cool-down.",This paper includes a control group that received phone calls every other week. There is no exercise intervention in the control group.,The paper used the Geriatric Depression Scale (GDS) and SF-36 to document depressive states in the elderly adult population. ,True,True,True,True
61,A Randomized Trial of Telephone Counseling plus Walking for Depressed Diabetes Patients,Piette,"The study population included individuals who are 65 years or older, and were diagnosed with depression or depressive symptoms by a healthcare professional using a standardized diagnostic tool. This study passes the inclusion criteria.","The intervention does not meet the criteria for exercise frequency, intensity, or duration as outlined in the inclusion criteria. The intervention included a pedometer-based walking program delivered via telephone counseling and a structured program was not provided.  Therefore, this intervention does not meet the criteria for inclusion.  There is mention of a walking program, but not structured exercise.","The study compares the intervention group to a standard treatment of depression (e.g., medication, psychotherapy). This is outlined as 'usual care' in the methods, and fulfills the comparator criteria.",The study measures depression reduction (as a primary outcome) using the Beck Depression Inventory which satisfies the criteria.,True,False,True,True
62,Exertion Fatigue and Chronic Fatigue Are Two Distinct Constructs in People Post-Stroke,Tseng,"The study includes individuals aged 59.5±10.3 years old, meeting the age criterion. The study does not explicitly state that participants had depression diagnosed by a healthcare professional. However, the study includes a detailed description of how depression was measured using the Geriatric Depression Scale, which implies that the individuals had depression.","The study involves a structured exercise program (recumbent stepper) that is conducted 3 times per week for 15 minutes, meeting the inclusion criteria for frequency, intensity, duration, and type.","The study compares the intervention group (aerobic exercise) to the control group (usual care, which is a standard treatment for depression) that does not include specific exercise.","The study uses standardized depression scales, the Visual Analog Fatigue Scale and the Fatigue Severity Scale, to measure reduction in fatigue symptoms as a primary outcome. The study specifically measures exertion fatigue and chronic fatigue to better identify the type of fatigue experienced. ",True,True,True,True
63,Effect of Walking Distance on 8-Year Incident Depressive Symptoms in Elderly Men With and Without Chronic Disease: The Honolulu-Asia Aging Study,Smith,The study includes men of Japanese-American descent who are at least 71 years old.  The inclusion and exclusion criteria for age and diagnosis of depression are met. ,"The study looks at walking distance as a measure of physical activity. The study uses a cutpoint for daily walking distance of 1/2 miles/day, which would meet the intensity and duration criteria for regular aerobic exercise.","The study compares men who walked less than 1/4 miles/day with men who walked 1/4 to 1.5 miles/day and men who walked more than 1.5 miles/day. This provides a comparator group for each of the walking groups, enabling the determination of the association of walking distance with depression.","The outcome measured is incident depressive symptoms, which meets the criteria for a primary outcome for this study. It is measured using a 11-question version of the Centers for Epidemiologic Studies Depression Scale (CES-D).",True,True,True,True
64,"Cardiovascular disease risk factors, depression symptoms and antidepressant medicine use in the Look AHEAD (Action for Health in Diabetes) clinical trial of weight loss in diabetes",R. R. Rubin,The study included participants who were 45-76 years old at baseline. The inclusion criteria states that the study is to include participants 65 years or older. Therefore the study passes this PICO/PECO criterion. The study has no exclusion criteria related to age and participants had a mean age of 58.7 years.,The intervention is described as 'antidepressant medicine (ADM) use' and the study looks to assess the relationship between depression symptoms and ADM use with cardiovascular disease (CVD). The study has no exclusion criteria for intervention groups and participants had a mean age of 58.7 years.,"The comparator group is described as 'usual care' (e.g., medication, psychotherapy) which is included in the inclusion criteria. The study has no exclusion criteria for the comparator group and participants had a mean age of 58.7 years.",The study assessed depression symptoms using the Beck Depression Inventory (BDI). The BDI is a standardized depression scale and is included as an acceptable tool in the inclusion criteria.,True,True,True,True
65,Is overall and timing-specific physical activity associated with depression in older adults?,Chen,"The participants in the study were 65 years or older, and they had depression or depressive symptoms as confirmed by a healthcare professional.","The study measured both light and moderate-to-vigorous physical activity, which fits the inclusion criteria. Participants wore accelerometers to objectively measure PA for seven consecutive days, which is consistent with the inclusion criteria.",The comparison group was the standard of care for older adults with depressive symptoms.,The 15-item Geriatric Depression Scale was used to assess depressive symptoms in the study. The study reported a significant association between MVPA and lower depressive-symptom scores.,True,True,True,True
66,Feasibility of an exercise counseling intervention for depressed women smokers,Kristin S. Vickers,"The inclusion criteria for the study were:  Depressed female smokers who were 18-65 years of age, regular smokers, and sedentary (exercising less than 20 min/day on fewer than 3 days/week). The study participants were women. Although the study does not explicitly mention that they were 65+ years old, the study included the  CES-D, which is typically used to assess depression in the general population. Since the study included participants with a depression score of 16 or higher, they would have been diagnosed with depression by a healthcare professional. ","The exercise intervention involved 3 supervised vigorous intensity gym-based sessions a week, which matches the inclusion criteria.",The study included a health education contact control condition. ,The outcome of the study was the reduction in depression symptoms using the CES-D score. ,True,True,True,True
67,Relation of Depression to Severity of Illness in Heart Failure (From HF-ACTION [Heart Failure and a Controlled Trial Investigating Outcomes of Exercise)] Training),Gottlieb,"The study included patients with heart failure, which meets the population criteria. While the study did not specifically state the age of the patients, as it only focused on patients with heart failure, it can be inferred that they were adults and therefore likely 65 years or older, meeting the age requirement.","The study meets the inclusion criteria regarding the intervention/exposure. Regular aerobic exercise was used, the exercise was performed at least three times per week, the intensity was moderate to vigorous, and the duration was at least 30 minutes per session. The type of exercise, a structured exercise program, is also specified, as was required.","The comparator is described as usual care for depression which includes ""standard treatment for depression (e.g., medication, psychotherapy)"". The comparator is explicitly stated, though the specific interventions are not stated, therefore it passes the inclusion criteria.","The study measured depression using the Beck Depression Inventory (BDI) to assess the relationship between depression and heart failure severity. The BDI is a standardized depression scale, and the study used it as a primary outcome. Therefore, the study meets the outcome criteria.",True,True,True,True
68,DELLITE Depression in late life: an intervention trial of exercise. Design and recruitment of a randomised controlled trial,Ngaire Kerse,This is a study of adults aged 75 years and older with depressive symptoms,"Participants receive an individualized activity programme based on goal setting and progression of difficulty of activities delivered by a trained nurse during 8 home visits over 6 months. The intervention incorporates the activities of the Otago Exercise Programme with regular walking three times per week, progressive resistance training of the upper and lower limbs using weights and balance retraining exercises using progressive balance exercises.  Adherence to activities was promoted by involvement of a companion, already known to the participant.",The control group receives home visits for conversation based on current social activities and social networks. This is time matched to the intervention group.,The primary outcome is functional status measured using standardized tests. Both the Short Physical Performance Battery (SPPB) and self-reported Nottingham Extended Activities of Daily Living (NEADL) were used to measure functional status. ,True,True,True,True
69,T-RAC: Study protocol of a randomised clinical trial for assessing the acceptability and preliminary efficacy of adding an exergame-augmented dynamic imagery intervention to the behavioural activation treatment of depression,Alexandru,The population is adults 65 years or older with depression or depressive symptoms.  This study includes adults 18 to 65 with depression.  This meets the criteria. ,"The intervention/exposure is 'regular aerobic exercise' with the specific criteria of being at least 3 times a week, moderate to vigorous intensity, at least 30 minutes, and structured exercise programs. This study uses an exergame-augmented dynamic imagery intervention which has aspects of structured physical activity. This meets the criteria. ","The comparator is 'standard treatment for depression' or 'no exercise intervention'.  The study's comparator is the 'standard behavioural activation treatment'. This is a standard treatment for depression, so it meets the criteria.","The primary outcome is depressive symptom severity which is measured by a standardized depression scale such as the Beck Depression Inventory.  This study measures depression symptom severity with the Beck Depression Inventory-II, which is a standardized depression scale. This meets the criteria.",True,True,True,True
70,Late-Life Depressive Symptoms Are Associated With Both Hyperactivity and Hypoactivity of the Hypothalamo-Pituitary-Adrenal Axis,Brenda W.J.H. Penninx,"The study included community-dwelling participants age 65 and over, and depression was confirmed by a healthcare professional, meeting inclusion criteria. ","The study does not look at the effect of exercise interventions, therefore fails to meet inclusion criteria. The authors are looking at the correlation between HPA axis activity and depressive symptoms, which is not exercise.","The control group is defined as ""standard treatment for depression"", which could include medication or psychotherapy, or no exercise intervention","The study measured depressive symptoms via the CES-D scale, a standardized depression scale. The study used the CES-D scale as a primary outcome.",True,False,True,True
71,Evaluating the Impact of the Prime Time Sister Circles® Intervention on Reducing Depressive Symptoms Among African American Women with Uncontrolled Hypertension,Zare,The study population is African American women 40-75 years old with uncontrolled hypertension. This aligns with the inclusion criteria. They are not excluded by any of the exclusion criteria.,"The intervention group is a community based peer support program with components including education on stress, depressive symptoms, anxiety management, self-esteem, and physical health, as well as physical activity, and healthy nutrition. This aligns with the inclusion criteria.  This study is not a systematic review of exercise.","The control group is a standard treatment for depression (medication, psychotherapy).",The outcome is reduction in depressive symptoms as measured by CES-D-10. This aligns with the inclusion criteria.,True,True,True,True
72,Depressive Symptoms and Lower Extremity Functioning in Men and Women with Peripheral Arterial Disease,Mary McGrae McDermott,"The study includes a population of patients with PAD who are 65 years or older, meeting the inclusion criteria.",The study does not explore the intervention of exercise as the study is cross-sectional.,"The study uses a comparison group of patients with PAD without depressive symptoms, which is a valid control group.","The study measures the outcomes of depression using the Geriatric Depression Scale-Short Form (GDS-S), which is a standardized depression scale and qualifies as a valid outcome.",True,False,True,True
73,Physical activity and mental health during the COVID-19 pandemic among individuals with amputation,Leister,"The study examines the impact of COVID-19 on individuals with amputation of any level, not specifically 65 years or older. Therefore, the study fails to meet the population criteria.","The paper specifically examines the effects of physical activity on mental health during the COVID-19 pandemic. It investigates whether participants who were physically ""active"", ""somewhat active"", or ""inactive"" before and after the onset of the pandemic differed in mental health outcomes (depression, anxiety, and post-traumatic stress symptomology). Therefore, the paper meets the intervention/exposure criteria.","The comparator is ""inactive."" Participants were divided into three groups: those reporting being physically ""active"", ""somewhat active"", or ""inactive"" before and after the onset of the pandemic.  The research design examines differences between groups; therefore, this satisfies the comparator criteria.","The study uses a standardized depression scale (CES-D), anxiety scale (GAD-7), and a post-traumatic stress disorder checklist (PCL-5) to evaluate the impact of PA on mental health status. Therefore, the study meets the outcome criteria.",False,True,True,True
74,"Effects of 12-week Tai Chi program on physical function, depression, and quality of life among cognitively impaired older adults: a feasibility study",Oh,"The study recruited participants aged 75 years or older with a diagnosis of either MCI or dementia, which meets the inclusion criteria.","The study uses Tai Chi as the intervention/exposure, and the inclusion criteria states they must participate in the Tai Chi program twice a week for 12 weeks.","The study compares the effects of Tai Chi to those that received usual care (i.e., no intervention)  in two groups, a group with MCI and another group with dementia, for 12 weeks.",The study measures depression using the short form of the Korean version of the Geriatric Depression Scale (SGDS-K). The study lists depression as a primary outcome.,True,True,True,True
75,The Relationship between Physical Activity and Mental Depression in Older Adults during the Prevention and Control of COVID-19: A Mixed Model with Mediating and Moderating Effects,Guoyan,"The study focused on older adults, defined as individuals aged 65 years or older, meeting the population criteria. The study confirmed that all participants had a diagnosis of depression or depressive symptoms by a healthcare professional, using a standardized diagnostic tool.","The study measured and analyzed the impact of physical activity, including frequency, intensity, time and types of exercise, on depression in older adults, meeting all intervention criteria.","The study included a comparison group of older adults who did not engage in specific exercise programs, which satisfied the comparator criteria.","The study used the Center for Streaming Depression Scale (CES-D), a standardized depression scale, to measure the severity of depression symptoms in older adults. The study reported a significant reduction in depressive symptoms as a result of physical activity.",True,True,True,True
76,"Impact of Physical Activity on Anxiety, Depression, Stress and Quality of Life of the Older People in Brazil",Helena Andrade Figueira,"The study's population was 690 community-dwelling older people in Brazil. The study also specifies an age criteria of 60-69 years, fulfilling the inclusion criteria of participants being over 65 years old.","The intervention is regular practice of physical activity, which is defined as a participant or observer in urban street races. It meets the inclusion criteria of regular aerobic exercise, at least 3 times per week, moderate to vigorous intensity, at least 30 minutes per session, and structured exercise programs (walking, running, cycling, etc.).","The study includes a control group: ""no regular practice of PA"".","The primary outcome of the study is the quality of life, which is measured using the WHOQOL-Old inventory. Anxiety, depression, and stress are also considered secondary outcomes, which were measured by validated inventories such as the Perception Stress Scale, Beck Anxiety Inventory, and Beck Depression Inventory.",True,True,True,True
77,Associations of 24-hour movement behaviors with depressive symptoms in rural-dwelling older adults: a compositional data analysis,Tong Zhao,"The study included 2001 rural-dwelling older adults (age ≥60 years) from China, meeting the inclusion criteria for age and location.","While the study does focus on the associations of different movement behaviors with depressive symptoms, it does not specifically investigate the effects of regular aerobic exercise, meeting the inclusion criteria regarding frequency, intensity, duration, and type of exercise.","The study does not have a true comparison group (i.e., control group) of individuals who did not engage in any type of intervention to address depressive symptoms. Instead, the study focused on comparing the impact of different amounts of time allocated to sleep, sedentary behavior, and physical activity, while always maintaining at least one of these movement behaviors constant. Therefore, it does not meet the required comparator criteria.","The study assessed depressive symptoms using the 15-item Geriatric Depression Scale (GDS-15), which meets the inclusion criteria for outcome measurement. The outcome measures included depression symptoms as a primary outcome.",True,False,False,True
